ChemicalId,Kg,RealKg,ScalerId,StartScale,EndScale
58,999.00,950.00,1041,2021-03-30 02:15:45.470,2021-03-30 02:15:54.787
153,2040.00,2000.00,1041,2021-03-30 02:16:48.237,2021-03-30 02:16:55.503
51,24000.00,23970.00,1042,2021-03-30 12:24:38.333,2021-03-30 12:24:59.337
52,6000.00,5950.00,1042,2021-03-30 13:09:17.200,2021-03-30 13:09:37.097
64,2192.40,2150.00,1042,2021-03-30 18:53:26.677,2021-03-30 18:53:34.327
58,510.00,460.00,1042,2021-03-31 17:14:43.573,2021-03-31 17:14:48.137
51,12000.00,11960.00,1041,2021-03-31 20:13:59.890,2021-03-31 20:14:28.500
52,3000.00,2970.00,1041,2021-03-31 20:14:42.267,2021-03-31 20:14:52.510
52,3000.00,2960.00,1041,2021-04-01 02:32:19.477,2021-04-01 02:32:29.777
64,3000.00,2960.00,1041,2021-04-01 02:32:36.160,2021-04-01 02:32:46.360
58,510.00,460.00,1041,2021-04-01 20:00:49.233,2021-04-01 20:00:53.860
51,12000.00,11960.00,1041,2021-04-01 23:32:15.723,2021-04-01 23:32:45.183
52,3000.00,2950.00,1041,2021-04-01 23:57:32.623,2021-04-01 23:57:42.867
52,3000.00,2950.00,1041,2021-04-02 02:52:43.653,2021-04-02 02:52:53.140
64,3000.00,2980.00,1041,2021-04-02 02:52:57.987,2021-04-02 02:53:22.573
153,2040.00,1990.00,1042,2021-04-06 02:09:04.740,2021-04-06 02:09:10.980
58,999.00,950.00,1042,2021-04-06 02:09:19.617,2021-04-06 02:09:26.217
71,2040.00,2000.00,1042,2021-04-06 02:09:35.107,2021-04-06 02:09:43.383
147,1500.00,1470.00,1042,2021-04-06 02:09:50.143,2021-04-06 02:09:56.537
153,4080.00,4040.00,1041,2021-04-06 15:08:46.573,2021-04-06 15:08:57.340
58,3000.00,2950.00,1041,2021-04-06 15:09:09.123,2021-04-06 15:09:22.617
71,4080.00,4030.00,1041,2021-04-06 15:09:43.697,2021-04-06 15:10:00.137
147,1999.80,1960.00,1041,2021-04-06 15:10:34.060,2021-04-06 15:10:42.890
51,12000.00,11950.00,1041,2021-04-07 18:14:54.280,2021-04-07 18:15:17.930
52,3000.00,2970.00,1041,2021-04-07 18:15:34.913,2021-04-07 18:15:43.847
58,510.00,480.00,1042,2021-04-07 20:16:41.883,2021-04-07 20:16:46.220
51,12000.00,11950.00,1041,2021-04-08 07:41:56.597,2021-04-08 07:42:20.930
52,3000.00,2970.00,1041,2021-04-08 07:42:30.930,2021-04-08 07:42:40.000
58,510.00,460.00,1041,2021-04-08 07:42:55.863,2021-04-08 07:43:00.263
64,999.00,950.00,1041,2021-04-08 07:48:15.680,2021-04-08 07:48:19.837
58,999.00,950.00,1041,2021-04-07 15:49:36.230,2021-04-07 15:49:41.730
58,510.00,460.00,1042,2021-04-07 18:43:34.267,2021-04-07 18:43:38.270
51,12000.00,12020.00,1041,2021-04-08 14:31:30.783,2021-04-08 14:31:55.200
52,3000.00,2970.00,1041,2021-04-08 14:32:06.790,2021-04-08 14:32:15.900
58,510.00,470.00,1041,2021-04-08 14:37:38.270,2021-04-08 14:37:42.117
64,999.00,990.00,1041,2021-04-08 14:37:52.677,2021-04-08 14:37:59.297
51,12000.00,11960.00,1042,2021-04-09 05:27:42.760,2021-04-09 05:28:07.030
52,3000.00,2990.00,1042,2021-04-09 05:51:15.150,2021-04-09 05:51:24.570
58,999.00,950.00,1042,2021-04-09 05:51:39.183,2021-04-09 05:51:45.410
64,3000.00,2960.00,1041,2021-04-09 11:19:36.613,2021-04-09 11:19:44.677
58,999.00,950.00,1042,2021-04-09 05:52:04.530,2021-04-09 05:52:10.877
51,12000.00,11990.00,1041,2021-04-09 10:11:44.337,2021-04-09 10:12:08.177
52,3000.00,2990.00,1041,2021-04-09 10:12:15.997,2021-04-09 10:12:25.280
52,3000.00,2950.00,1041,2021-04-09 15:37:09.297,2021-04-09 15:37:18.203
64,3000.00,2970.00,1041,2021-04-09 15:37:22.673,2021-04-09 15:37:30.910
58,510.00,460.00,1041,2021-04-08 18:57:20.590,2021-04-08 18:57:24.807
51,12000.00,11970.00,1041,2021-04-08 18:57:40.057,2021-04-08 18:58:04.810
